Battery_ID,Cycle_Index,Discharge_Index,Ambient_Temperature,Discharge_Time_Seconds,Max_Temp_Reached,Min_Voltage_Recorded,Voltage_Drop_Rate_V_per_sec,Internal_Resistance_Re,Cycles_Since_Impedance,Capacity_Ahr,SoH,Max_Cycle,RUL
B0005,2,1,24,3690.234,38.98218133148803,2.612467347907089,0.0004278927730865,0.0446687003661609,0.0,1.8564874208181572,1.0,614,612
B0005,4,2,24,3672.344,39.03339796678704,2.587208728940726,0.000436387355026,0.0446687003661609,0.0,1.846327249719927,0.9945272071416714,614,610
B0005,6,3,24,3651.641,38.81879668981741,2.65191689384378,0.0004207067020409,0.0446687003661609,0.0,1.835349194223408,0.9886138595081704,614,608
B0005,8,4,24,3631.563,38.7623045063458,2.592947964776547,0.0004393461311504,0.0446687003661609,0.0,1.8352625275821128,0.9885671763794172,614,606
B0005,10,5,24,3629.172,38.66539257343368,2.547419651124539,0.0004521358793786,0.0446687003661609,0.0,1.8346455082120416,0.9882348178817772,614,604
B0005,12,6,24,3652.281,38.75169504640032,2.5209480504077413,0.0004566646864085,0.0446687003661609,0.0,1.8356616600675493,0.9887821697485945,614,602
B0005,14,7,24,3650.828,38.8207012322275,2.487927319492314,0.0004657749744568,0.0446687003661609,0.0,1.8351461429226603,0.9885044855913476,614,600
B0005,16,8,24,3572.453,38.51713023385634,2.665204904745877,0.0004265200932709,0.0446687003661609,0.0,1.8257567905665535,0.9834468955151549,614,598
B0005,18,9,24,3550.594,38.526267904657,2.603858472633368,0.0004464522776326,0.0446687003661609,0.0,1.8247738529891333,0.9829174345738104,614,596
B0005,20,10,24,3551.25,38.52698128472781,2.552853984885676,0.0004607868897404,0.0446687003661609,0.0,1.824613268496936,0.982830935473199,614,594
B0005,22,11,24,3530.25,38.54143406601644,2.472448301852732,0.0004862170537663,0.0446687003661609,0.0,1.8246195526864504,0.9828343204622076,614,592
B0005,25,12,24,3491.016,38.52197451768004,2.64956413267546,0.0004412217287433,0.0446687003661609,0.0,1.814201935767392,0.977222853989428,614,589
B0005,27,13,24,3470.281,38.582485834057856,2.5724981777366227,0.000465895590885,0.0446687003661609,0.0,1.8137521577549052,0.9769805803238794,614,587
B0005,29,14,24,3470.0,38.52029413487392,2.5249886697730286,0.0004794954167491,0.0446687003661609,0.0,1.8134404914735824,0.9768127007692816,614,585
B0005,31,15,24,3450.297,38.21358592965045,2.694621861688723,0.0004331477667226,0.0446687003661609,0.0,1.8025980036306504,0.9709723768751648,614,583
B0005,33,16,24,3429.407,38.1983618706913,2.64010141737067,0.0004517138548064,0.0446687003661609,0.0,1.80210690024615,0.9707078432300706,614,581
B0005,35,17,24,3409.484,38.31926916027133,2.573903509838096,0.0004736776766191,0.0446687003661609,0.0,1.802579500826209,0.9709624103091468,614,579
B0005,37,18,24,3390.422,38.4787542519308,2.4942396831720126,0.0004998021239494,0.0446687003661609,0.0,1.8030683142834096,0.9712257104811376,614,577
B0005,39,19,24,3390.281,38.54659017774874,2.4556793246645583,0.0005113420589183,0.0446687003661609,0.0,1.802777624719604,0.971069130069902,614,575
B0005,42,20,24,3591.734,38.44749852224995,2.632142800798914,0.0004330697261446,0.0446687003661609,1.0,1.8470259949329195,0.9949035873989016,614,572
B0005,46,21,24,3552.297,38.992275791716615,2.5027764692056795,0.0004742993932947,0.044843430573346,1.0,1.847417311283644,0.995114370594272,614,568
B0005,50,22,24,3531.578,38.51424197364312,2.617507742871704,0.0004445433410903,0.04510114851143,1.0,1.8361774213478947,0.9890599854098058,614,564
B0005,54,23,24,3492.907,38.165816144899125,2.694074478000972,0.0004275148317393,0.0441720755771717,1.0,1.825780747577624,0.9834597999985366,614,560
B0005,58,24,24,3511.594,38.16526203587147,2.6237674644021887,0.0004452880154238,0.0437866281960759,1.0,1.8251136435078368,0.9831004632950896,614,556
B0005,62,25,24,3431.9370000000054,38.27549578575718,2.5010798299873738,0.0004914605224952,0.0446393219887852,1.0,1.825581504220376,0.9833524772367372,614,552
B0005,66,26,24,3431.125,37.98216079918311,2.68499881852498,0.0004381251933447,0.0435587857754753,1.0,1.814031127508391,0.9771308478400268,614,548
B0005,70,27,24,3412.406,38.11100191887773,2.547109116468133,0.0004806666178702,0.0452654781826178,1.0,1.8147691941158937,0.9775284086310274,614,544
B0005,74,28,24,3410.688,38.18831137948753,2.471314764334132,0.0005031962882427,0.0444837157774346,1.0,1.813969388710352,0.9770975921350076,614,540
B0005,78,29,24,3410.718,37.99854111908584,2.6613903306108773,0.0004476070527895,0.0444141648591004,1.0,1.802765665167823,0.9710626880376818,614,536
B0005,82,30,24,3392.719,38.194201649765226,2.541762355407921,0.0004851286324781,0.0445354459002964,1.0,1.804077040117352,0.9717690623092357,614,532
B0005,86,31,24,3470.672,38.45796400011448,2.628919415830567,0.0004529816593176,0.045021352455558,3.0,1.8518025516704488,0.9974764875349146,614,528
B0005,90,32,24,3414.109,38.49126351534004,2.6312552691827045,0.0004593781467922,0.0464625160005063,1.0,1.8307038456739428,0.9861116348782736,614,524
B0005,94,33,24,3395.219,38.31473393357882,2.654880745360911,0.0004550435710748,0.0477238545111998,1.0,1.8199041089501269,0.9802943389447216,614,520
B0005,98,34,24,3386.0,37.861934640176806,2.6749688422803803,0.0004501283593623,0.0469402296332379,1.0,1.809307963702852,0.9745867078945714,614,516
B0005,102,35,24,3368.187,37.90665575786083,2.6159705726789904,0.0004702909797425,0.0470279824320801,1.0,1.80460990458052,0.9720560906279802,614,512
B0005,106,36,24,3368.266,38.34003238560517,2.658447162110498,0.0004575731426461,0.0477553802626716,1.0,1.7993770651972192,0.9692374130950104,614,508
B0005,110,37,24,3358.719,38.0745950590744,2.697942608427116,0.0004469686557444,0.0470229394468384,1.0,1.7884432335370462,0.9633478867036308,614,504
B0005,114,38,24,3339.5,38.07252758016199,2.6617272246516333,0.0004606334049059,0.046245370477528,1.0,1.7829230484252725,0.9603744299218224,614,500
B0005,118,39,24,3331.265,37.80133585100446,2.699288287625812,0.0004502641122903,0.0461861033675123,1.0,1.7730337158018288,0.955047524653008,614,496
B0005,122,40,24,3321.188,38.39873985476869,2.612793240883853,0.0004777213877187,0.0477373701431311,1.0,1.773037755078937,0.9550497004162602,614,492
B0005,126,41,24,3321.844,38.74929237918251,2.6637064901468075,0.0004623553086416,0.048383341548765,1.0,1.7678721106662054,0.9522672175646096,614,488
