iter	RMSE
0	137.5034179
1	132.2985843
2	127.4020364
3	122.5997468
4	118.5779483
5	114.7083721
6	110.7917593
7	106.9746224
8	103.2904233
9	99.80173192
10	96.72733773
11	93.95266848
12	90.83970554
13	88.18509194
14	85.6118682
15	83.16873902
16	80.75557582
17	78.62435238
18	76.60917493
19	74.70523031
20	72.72696345
21	71.1030165
22	69.37151752
23	67.73042763
24	66.22093825
25	64.9292659
26	63.50172872
27	62.19887342
28	60.9781692
29	59.86357133
30	58.78871163
31	57.69877069
32	56.45678253
33	55.61184351
34	54.78443851
35	53.92884389
36	53.02967288
37	52.29681619
38	51.35284127
39	50.74398397
40	50.04801706
41	49.46381183
42	48.72769842
43	48.30936585
44	47.41240811
45	46.78432514
46	46.1378773
47	45.75801873
48	45.32124741
49	44.78533866
50	44.33665259
51	43.80746795
52	43.43148607
53	42.81133936
54	42.40854602
55	42.07363967
56	41.61665518
57	41.13854217
58	40.71342544
59	40.30559467
60	40.08579188
61	39.80533529
62	39.46984949
63	39.25049371
64	39.08378707
65	38.82196229
66	38.64284323
67	38.58607064
68	38.20772319
69	38.0225665
70	37.63004678
71	37.34044678
72	37.02856884
73	36.65021362
74	36.31874326
75	36.05907497
76	35.76925474
77	35.50947634
78	35.32295932
79	35.08250305
80	34.95387246
81	34.75082364
82	34.60993021
83	34.33423623
84	34.0911428
85	33.88764736
86	33.65865815
87	33.42988956
88	33.20978291
89	33.08687687
90	32.91948854
91	32.62943331
92	32.42394902
93	32.2825027
94	32.13854095
95	31.96153931
96	31.78086216
97	31.60353764
98	31.38328127
99	31.28899307
100	31.18144292
101	31.12147616
102	31.03717038
103	30.93656492
104	30.71051635
105	30.57202155
106	30.47674894
107	30.38128395
108	30.30007509
109	30.20242445
110	30.05395704
111	29.93097626
112	29.76473422
113	29.67862339
114	29.64103245
115	29.60245294
116	29.5617212
117	29.41251538
118	29.31888517
119	29.12965073
120	29.08658284
121	29.00104059
122	28.93594386
123	28.82586026
124	28.60361529
125	28.52207814
126	28.51837528
127	28.4523091
128	28.25013099
129	28.19962563
130	28.13788183
131	27.99741927
132	27.95847228
133	27.78879946
134	27.69562434
135	27.61405344
136	27.52373641
137	27.45258996
138	27.3255628
139	27.28828495
140	27.23193305
141	27.08144501
142	27.06771935
143	26.99294947
144	26.90474107
145	26.82750941
146	26.82120418
147	26.79360207
148	26.75350557
149	26.73742551
150	26.71600164
151	26.67618257
152	26.66750366
153	26.60015885
154	26.54334983
155	26.40570235
156	26.35646721
157	26.27666774
158	26.23716515
159	26.12469749
160	26.05782204
161	26.00313445
162	25.97497239
163	25.97496192
164	25.967661
165	25.80062255
166	25.75193264
167	25.66846168
168	25.63740357
169	25.59652147
170	25.53370861
171	25.48415551
172	25.31384086
173	25.14373855
174	25.09582529
175	25.04154836
176	24.91682151
177	24.8659237
178	24.73251905
179	24.70710005
180	24.67126177
181	24.61895324
182	24.58040952
183	24.45300456
184	24.26883427
185	24.21390873
186	24.12811934
187	23.92757822
188	23.89061361
189	23.84934768
190	23.66049949
191	23.59895561
192	23.59894408
193	23.55126013
194	23.43784908
195	23.3955315
196	23.24884688
197	23.20727416
198	23.12545115
199	23.06565298
200	23.03887483
201	22.99763185
202	22.98873497
203	22.9550857
204	22.89174964
205	22.85542801
206	22.83734276
207	22.82349346
208	22.72986338
209	22.68654078
210	22.6329486
211	22.63294727
212	22.58856422
213	22.57928943
214	22.55120241
215	22.51771898
216	22.4927832
217	22.44423033
218	22.37801636
219	22.3734688
220	22.3606406
221	22.3215718
222	22.27644566
223	22.23607357
224	22.20622823
225	22.16750596
226	22.00987849
227	21.97735169
228	21.94221962
229	21.90724148
230	21.86453333
231	21.8337215
232	21.79880277
233	21.75299349
234	21.69982769
235	21.65347283
236	21.60144235
237	21.56983807
238	21.55996042
239	21.53605758
240	21.49430612
241	21.39148094
242	21.3816318
243	21.34410545
244	21.21866809
245	21.19052533
246	21.15491835
247	21.14021123
248	21.09793199
249	21.0711878
250	21.04177328
251	21.0331047
252	21.00852695
253	21.00852335
254	20.99815293
255	20.97302794
256	20.93290985
257	20.92945122
258	20.9094864
259	20.87636727
260	20.83718009
261	20.81639032
262	20.7128125
263	20.71113963
264	20.57679403
265	20.57476068
266	20.55838448
267	20.53834503
268	20.52697773
269	20.52697405
270	20.51997533
271	20.503769
272	20.49505048
273	20.4269962
274	20.42385938
275	20.38459364
276	20.36201632
277	20.33847305
278	20.33846711
279	20.28824504
280	20.28824355
281	20.28456555
282	20.26055358
283	20.23818417
284	20.22356096
285	20.20213002
286	20.15765257
287	20.13172021
288	20.05618769
289	20.05579684
290	20.03268535
291	20.02253669
292	19.97592951
293	19.92634456
294	19.90351075
295	19.88525719
296	19.88394084
297	19.86985583
298	19.84222446
299	19.84187659
300	19.8207104
301	19.82070659
302	19.81722153
303	19.81167603
304	19.72693834
305	19.72449194
306	19.70667268
307	19.69162332
308	19.68493145
309	19.68461916
310	19.67915449
311	19.66939935
312	19.66939013
313	19.65406784
314	19.64772679
315	19.61114472
316	19.49289212
317	19.40699291
318	19.38116278
319	19.37369478
320	19.34947199
321	19.29975117
322	19.29850289
323	19.27185806
324	19.21970006
325	19.17997879
326	19.14565712
327	19.10330341
328	19.02425413
329	19.02351179
330	19.02225649
331	19.02224538
332	19.01607807
333	18.97396448
334	18.94216255
335	18.93976949
336	18.91921469
337	18.91537589
338	18.91489679
339	18.8986631
340	18.87972923
341	18.85727729
342	18.85682634
343	18.85291556
344	18.85277295
345	18.85269524
346	18.84999115
347	18.84883489
348	18.80337819
349	18.7912218
350	18.78954907
351	18.77463984
352	18.77463582
353	18.75487129
354	18.73832487
355	18.73068846
356	18.72966273
357	18.72891516
358	18.72265849
359	18.7223955
360	18.70904017
361	18.67909584
362	18.67305543
363	18.67018132
364	18.58232827
365	18.58231202
366	18.58230308
367	18.47256483
368	18.47226802
369	18.47075612
370	18.47064981
371	18.45529391
372	18.45528573
373	18.45497964
374	18.44961821
375	18.44961167
376	18.43598991
377	18.42548643
378	18.42516919
379	18.42447649
380	18.42385509
381	18.41224878
382	18.40475364
383	18.40474707
384	18.40391163
385	18.40337899
386	18.39595249
387	18.36053462
388	18.34862402
389	18.34858121
390	18.3187922
391	18.31739544
392	18.3172767
393	18.31721156
394	18.30347311
395	18.29532333
396	18.29531095
397	18.28563445
398	18.26748072
399	18.26501167
400	18.26468255
401	18.26379521
402	18.23295234
403	18.23182404
404	18.19601283
405	18.16405041
406	18.15283629
407	18.0886289
408	18.07284479
409	18.05501835
410	18.04992305
411	18.04989878
412	18.04987535
413	18.03503049
414	18.0277547
415	18.01812061
416	17.9726907
417	17.97141328
418	17.94645165
419	17.88357591
420	17.86708232
421	17.8600045
422	17.85769225
423	17.81822791
424	17.77869722
425	17.77338333
426	17.77333659
427	17.68316849
428	17.65913799
429	17.6523336
430	17.63827081
431	17.63796596
432	17.61173334
433	17.61141945
434	17.58711659
435	17.57292081
436	17.5367442
437	17.52879717
438	17.52873168
439	17.52125685
440	17.52071808
441	17.51037202
442	17.50370654
443	17.48044461
444	17.39078761
445	17.27773389
446	17.27726881
447	17.2699519
